X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
5.54669174,1.88537206,0.844234705,0.500606849,0.707395357,1.133538653,1.418242093,1.247969482,0.648525412,0.351345142,0.395069121,0.349503946,0.253163073,0.162643876,0.101631081,0.05578375
1.743880926,6.85060448,1.793299017,0.509912611,0.28766578,0.688788738,1.085535448,1.218264377,0.915882533,0.37862464,0.235057457,0.242123566,0.220788982,0.131659712,0.066771288,0.050998565
0.497126438,2.452483112,8.742867523,1.181130327,0.482065453,0.38424931,0.597250147,0.892891095,1.025332116,0.555854738,0.285007258,0.156502203,0.114823371,0.098873377,0.07560223,0.060438096
0.248575259,0.579108379,2.932436471,8.379862293,1.728120856,0.847746442,0.634330929,0.819962197,0.967005484,0.890182295,0.48122892,0.203535952,0.092341819,0.054504986,0.032918949,0.022506395
0.381020508,0.306264477,0.443754707,2.473059637,4.052068786,1.949441071,1.222950792,1.058357841,0.879913683,1.010601941,0.727668848,0.39201995,0.118931069,0.042776933,0.047838151,0.038383683
0.784285613,0.352052127,0.243194944,0.897383876,2.168762606,3.379255043,1.872025083,1.416439356,1.127862161,0.904390919,0.915379784,0.496593895,0.169579802,0.053437512,0.026467001,0.019572265
0.876055034,0.892339741,0.684494408,0.461716559,1.080360938,1.824212047,2.635085087,1.807488505,1.294255258,0.976086809,0.764365534,0.556636634,0.228212027,0.079431038,0.042481571,0.03570789
0.802813387,1.133849347,0.961053938,0.786786889,0.750497957,1.366812853,1.679341634,2.570133193,1.776179384,1.104126026,0.827772878,0.456389399,0.256416422,0.131736331,0.076538613,0.028623243
0.427923477,0.727438732,0.979814777,0.909212249,0.871001882,1.141695921,1.438001566,1.604580328,2.087627285,1.338811435,0.957270884,0.368016255,0.174281948,0.088630886,0.059626427,0.028803019
0.253819141,0.414675025,0.616042082,1.092147331,0.824177823,0.914596032,1.068416085,1.203231878,1.235910328,1.45463422,0.886239184,0.425783393,0.127554877,0.050938355,0.051197665,0.046929658
0.322822485,0.408422874,0.645556894,0.910973502,0.968814503,1.26188998,1.129048055,1.067323592,1.361654223,1.41729332,1.401505922,0.71576578,0.203311879,0.066393659,0.05330606,0.048395744
0.605489851,0.60170986,0.560954543,0.711975422,0.784649522,1.244560485,1.289673512,0.960401925,0.992154195,0.825222706,1.00316552,1.059123425,0.391756683,0.134198939,0.065314683,0.047520986
0.70014214,0.60194672,0.43544568,0.486185496,0.498248994,0.752355897,0.879231472,0.898730395,0.555824157,0.423197236,0.424817754,0.576326033,0.697919264,0.292362081,0.134669536,0.053307217
0.378945363,0.522852297,0.446109305,0.241099677,0.277463601,0.385075891,0.609642743,0.651689683,0.488491922,0.208557447,0.215884097,0.286372186,0.347510549,0.492837817,0.165832205,0.058666864
0.206236414,0.5918795,0.546221402,0.500017367,0.187683376,0.344777213,0.327159103,0.646323091,0.60546163,0.491507598,0.333747936,0.2269816,0.358990664,0.343013019,0.47178993,0.187759754
0.315910731,0.433255272,0.712851318,0.540601956,0.194597,0.179525343,0.277043994,0.501524525,0.586490813,0.557196885,0.474958902,0.20243567,0.137816742,0.197329168,0.215880392,0.238509106
