X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
3.913349214,2.247451051,1.204178559,0.690012169,1.062833835,1.468579316,1.601603022,1.264176278,0.64181497,0.32486573,0.320477036,0.283787047,0.190889696,0.12934188,0.056395415,0.027696178
2.076741978,12.0730539,3.039724792,0.845876911,0.557488153,1.173691792,1.520472112,1.441515959,0.994944852,0.409266402,0.254093142,0.244919604,0.197799843,0.122818307,0.04789267,0.027353057
0.858099523,4.415735483,15.19346538,1.885717051,0.878514785,0.737474454,0.913060826,1.143646789,1.065759803,0.543614246,0.276347385,0.150115858,0.108023092,0.102451388,0.059536294,0.030624209
0.464131592,1.171946769,5.467300276,14.86679374,2.498833673,1.123326444,0.754825928,0.917823224,0.876649481,0.725944335,0.36156116,0.154771761,0.091115793,0.060988621,0.028154155,0.014893892
0.7489402,0.727850628,0.849209055,4.747918976,6.403642911,2.465710331,1.355949567,0.846918405,0.692905639,0.743177117,0.429069542,0.260300329,0.088369711,0.043537825,0.032724989,0.020066095
1.135000911,0.751195493,0.417705031,1.259234253,2.941650255,3.510998922,1.784421153,1.027776485,0.73069963,0.541198615,0.420381698,0.257015892,0.109025089,0.04712541,0.015183334,0.012819462
1.169167895,1.815629213,1.346942018,0.711163784,1.252120443,1.887292965,2.2253624,1.311537271,0.84559365,0.512288071,0.318470783,0.267334748,0.152913541,0.060042494,0.025996839,0.015066773
0.913795659,1.521302419,1.173070494,0.669928261,0.632759545,1.049666102,1.244233848,1.431153005,0.898330631,0.44854849,0.221881827,0.16108015,0.135497923,0.085584534,0.036392828,0.010871101
0.570008468,0.999661662,1.071113494,0.932052002,0.656379875,0.766872049,0.926864868,0.842133992,0.999337127,0.54108209,0.248250747,0.105967988,0.102369381,0.068064899,0.029109144,0.013074849
0.315873969,0.653262436,0.649319666,0.975673051,0.50823452,0.529608169,0.575499736,0.530918073,0.505089973,0.498821091,0.247758896,0.122259677,0.057040499,0.03446944,0.022248712,0.019564424
0.333896215,0.583139928,0.715209758,0.688037024,0.474672504,0.51367763,0.406975987,0.305721075,0.346191875,0.335644026,0.257275356,0.167780142,0.066075745,0.029364863,0.020200452,0.016997636
0.813270443,0.98515993,0.640657045,0.59008897,0.46088457,0.680055575,0.626689196,0.373344046,0.322934252,0.311910868,0.296196061,0.268405732,0.154360289,0.080177821,0.02431912,0.026059143
0.582054328,0.618301651,0.396969045,0.378883621,0.2760537,0.348591846,0.385426079,0.380963764,0.229778111,0.14966021,0.155168689,0.169083448,0.180516782,0.106435418,0.035425686,0.009237445
0.421488432,0.662482732,0.524126567,0.21825354,0.22912244,0.263162279,0.373207366,0.379383321,0.289800497,0.141755051,0.146552821,0.15689056,0.137838761,0.161245315,0.064577076,0.015628134
0.143046069,0.45000015,0.374315453,0.27459222,0.092997103,0.165652027,0.135341731,0.239111272,0.219134739,0.190546833,0.166858696,0.100554568,0.117136889,0.096530207,0.092157893,0.058670193
0.165713396,0.246815997,0.312241586,0.230640161,0.068368418,0.075439823,0.09462157,0.156831769,0.1437156,0.143287072,0.141019667,0.083109236,0.037428092,0.058515717,0.036336645,0.032410922
