p_infants_s,p_infants_e,p_infants_i,p_infants_r,p_infants_v,p_children_s,p_children_e,p_children_i,p_children_r,p_children_v,p_adults_s,p_adults_e,p_adults_i,p_adults_r,p_adults_v,p_matures_s,p_matures_e,p_matures_i,p_matures_r,p_matures_v,pw_children_s,pw_children_e,pw_children_i,pw_children_r,pw_children_v,pw_adults_s,pw_adults_e,pw_adults_i,pw_adults_r,pw_adults_v,pw_matures_s,pw_matures_e,pw_matures_i,pw_matures_r,pw_matures_v,ij_infants_s,ij_infants_e,ij_infants_i,ij_infants_r,ij_infants_v,ij_children_s,ij_children_e,ij_children_i,ij_children_r,ij_children_v,ij_adults_s,ij_adults_e,ij_adults_i,ij_adults_r,ij_adults_v,ij_matures_s,ij_matures_e,ij_matures_i,ij_matures_r,ij_matures_v,ia_infants_s,ia_infants_e,ia_infants_i,ia_infants_r,ia_infants_v,ia_children_s,ia_children_e,ia_children_i,ia_children_r,ia_children_v,ia_adults_s,ia_adults_e,ia_adults_i,ia_adults_r,ia_adults_v,ia_matures_s,ia_matures_e,ia_matures_i,ia_matures_r,ia_matures_v,ib_infants_s,ib_infants_e,ib_infants_i,ib_infants_r,ib_infants_v,ib_children_s,ib_children_e,ib_children_i,ib_children_r,ib_children_v,ib_adults_s,ib_adults_e,ib_adults_i,ib_adults_r,ib_adults_v,ib_matures_s,ib_matures_e,ib_matures_i,ib_matures_r,ib_matures_v
0.0455001153514,0.0,0.00252778418619,0.0,0.00252778418619,0.107815385531,0.0,0.00598974364059,0.0,0.00598974364059,0.122032368776,0.0,0.00677957604311,0.0,0.00677957604311,0.0315973459682,0.0,0.00175540810934,0.0,0.00175540810934,0.00011311699034,0.0,6.28427724108e-06,0.0,6.28427724108e-06,0.00331809838329,0.0,0.000184338799072,0.0,0.000184338799072,0.000339350971019,0.0,1.88528317233e-05,0.0,1.88528317233e-05,0.0425131355359,0.0,0.00236184086311,0.0,0.00236184086311,0.101459656057,0.0,0.00563664755874,0.0,0.00563664755874,0.164446966845,0.0,0.00913594260248,0.0,0.00913594260248,0.116931546625,0.0,0.00649619703471,0.0,0.00649619703471,0.0126753871953,0.0,0.000704188177515,0.0,0.000704188177515,0.0372154898217,0.0,0.00206752721232,0.0,0.00206752721232,0.0455987156613,0.0,0.00253326198118,0.0,0.00253326198118,0.0162322881137,0.0,0.000901793784096,0.0,0.000901793784096,0.00126753871953,0.0,7.04188177515e-05,0.0,7.04188177515e-05,0.00372154898217,0.0,0.000206752721232,0.0,0.000206752721232,0.0455987156613,0.0,0.00253326198118,0.0,0.00253326198118,0.00162322881137,0.0,9.01793784096e-05,0.0,9.01793784096e-05
0.0304733531747,0.0141533272391,0.0034060306325,0.000828548259664,0.00169442441785,0.0704896616717,0.0350850650545,0.00822528577588,0.00197981506308,0.00401504524665,0.0635360197303,0.0538924918772,0.0111496049812,0.00246891853254,0.00454448574087,0.0203711972317,0.0105288959581,0.00244649496026,0.000584888788142,0.00117668524869,7.00635920597e-05,4.02326951971e-05,9.04906514092e-06,2.12771540004e-06,4.21247702396e-06,0.00163664350914,0.00154453054776,0.000313599343045,6.84365887921e-05,0.000123565992703,0.000207269269175,0.000123199175577,2.75188918933e-05,6.43186674821e-06,1.26374310719e-05,0.024460208358,0.016667359798,0.00368582286462,0.000840236960038,0.00158318928151,0.0464353724855,0.0501913462103,0.01015320865,0.00217466596499,0.00377835786399,0.0608869668296,0.0936115726408,0.0183209496291,0.00377535746336,0.00612400548684,0.057197907379,0.0546622269712,0.0112598064951,0.00244946873872,0.00435453111027,0.0041027533313,0.00774171863746,0.00146988811622,0.000297372012139,0.000472031453185,0.0120458627803,0.0227300236842,0.00431565563919,0.00087309720173,0.00138590494088,0.0147593347406,0.0278502282764,0.00528780772002,0.001069772593,0.00169809629366,0.00525404653185,0.00991415926651,0.00188236043837,0.000380818992244,0.000604490452939,0.000608912568866,0.000602156566925,0.000123381948585,2.67221253349e-05,4.72031453185e-05,0.00178779386853,0.00176795795207,0.000362254784096,7.84573258469e-05,0.000138590494088,0.0219051541879,0.0216621122935,0.00443856925599,0.000961307592613,0.00169809629366,0.000779782432019,0.000771130596117,0.000158004746255,3.42207485077e-05,6.04490452939e-05
0.0236395286814,0.0182209010182,0.00541279629101,0.00214665107943,0.00113580665376,0.0533322161795,0.0453072227687,0.0132715791358,0.00519248941338,0.00269136531452,0.0431440870374,0.0637119306064,0.0187285264369,0.00696071689045,0.00304625989098,0.0154059814278,0.0134219483107,0.00394989196167,0.0015415847766,0.000788755710061,5.14029570564e-05,5.09181813592e-05,1.48382425782e-05,5.70245603528e-06,2.82370779258e-06,0.001077672663,0.0018009450573,0.000529952250259,0.000195377248956,8.28287619157e-05,0.000151998475319,0.000154150221515,4.5125836071e-05,1.73109781826e-05,8.47112337775e-06,0.0185491133963,0.0194052234598,0.00593415121676,0.00228708567723,0.00106124351205,0.0310511458207,0.0559558348426,0.0169317556079,0.00626150588626,0.00253270901729,0.0375053583891,0.0993057595412,0.030618857029,0.0111838334506,0.00410504363979,0.0394642668742,0.061895595904,0.0186825587993,0.00696258962257,0.00291892949425,0.0021851221369,0.00818626110102,0.00249765217975,0.000898315987196,0.000316412145424,0.00641561392897,0.0240352197522,0.0073332157702,0.00263749493117,0.000928999863759,0.00786080625948,0.0294494350764,0.00898510868433,0.00323162161779,0.00113826798572,0.00279829969242,0.0104834469132,0.00319853028275,0.0011503967253,0.000405202068235,0.000416637437908,0.00067883061351,0.000205029345989,7.62377430802e-05,3.16412145424e-05,0.00122326569523,0.00199307629807,0.000601975105081,0.000223837339872,9.28999863759e-05,0.0149882064921,0.0244204012475,0.00737577062221,0.0027425932761,0.00113826798572,0.00053355205856,0.000869320512988,0.000262563609663,9.76311801568e-05,4.05202068235e-05
0.0196751112993,0.018820204857,0.0072430678561,0.00405594574302,0.000761353968307,0.0434390071527,0.0467885927601,0.017871660971,0.0098915358067,0.00180407612122,0.0329068075122,0.0622560624955,0.0248373859019,0.0135492958825,0.00204196907001,0.0125816714398,0.0137621791109,0.00529824070656,0.00293735216581,0.000528718763789,4.09763074196e-05,5.18975311228e-05,1.99623250077e-05,1.09565933344e-05,1.89278793719e-06,0.000804462464943,0.00174422081762,0.00070097221451,0.000381598704876,5.55217794909e-05,0.000121490594591,0.000156138193255,6.04893908068e-05,3.32600920006e-05,5.67836381157e-06,0.0154649968853,0.0189731447833,0.0077341481873,0.0043531546065,0.000711372799727,0.0237472847537,0.0531173419432,0.0220144159723,0.0121561828808,0.00169772562477,0.0273723107319,0.0916044017199,0.0392261424589,0.0217643040978,0.00275169304113,0.0307760944918,0.0593401237409,0.0243740573962,0.0134770481128,0.00195661695263,0.00141435743198,0.0074861519499,0.00320809298672,0.00176306377785,0.000212097403851,0.0041526151275,0.0219796687394,0.00941910097539,0.00517643217273,0.000622727231336,0.00508804041964,0.0269308470741,0.0115408640117,0.00634248426973,0.000763003848459,0.0018112470237,0.00958687679058,0.0041083312765,0.00225780552215,0.000271615068987,0.000323268749834,0.000648963115303,0.00026723587672,0.000147698872787,2.12097403851e-05,0.000949131153455,0.00190538402024,0.000784616193324,0.000433650334479,6.22727231336e-05,0.0116293408468,0.023345941322,0.00961360199048,0.00531335161598,0.000763003848459,0.000413982737145,0.000831071753509,0.000342226211982,0.000189145358656,2.71615068987e-05
0.0170959245597,0.0179571695,0.00855272099633,0.0064395178413,0.000510350826518,0.0370639177059,0.0445824298112,0.0211574693294,0.015781747578,0.00120930838728,0.0268564704145,0.0570180927666,0.0287111945187,0.0216369903628,0.00136877279949,0.0107716720646,0.0130539634197,0.00624810017762,0.00468001573929,0.000354410785689,3.43996900704e-05,4.89712838242e-05,2.3524634556e-05,1.75211626752e-05,1.26877369578e-06,0.00064598025342,0.00158701228957,0.000807160680484,0.000609405396217,3.7217361743e-05,0.000102338186958,0.000146758192925,7.10381790215e-05,5.31157544726e-05,3.80632108735e-06,0.0135503910163,0.0174682241463,0.00887992622563,0.00686142842661,0.000476847447332,0.0195109742557,0.0478017946009,0.0250213831201,0.0192607796804,0.00113801951769,0.0218079446252,0.080815710219,0.0439244998134,0.0343261823881,0.00184451500396,0.0256311009018,0.0537917735084,0.0278283309543,0.0213611757655,0.0013115595643,0.00102167956459,0.00654451081955,0.00358571658456,0.00278968344024,0.000142173141355,0.00299969577665,0.0192149692976,0.0105278203341,0.00819063229207,0.000417426545913,0.00367541245447,0.0235433666369,0.0128993354177,0.0100356683403,0.000511456774256,0.00130837794514,0.00838099724685,0.00459192163507,0.00357250982952,0.000182069025345,0.000268295398336,0.000587060918437,0.0003047187446,0.000234083979521,1.42173141355e-05,0.000787726995014,0.0017236364695,0.000894667528767,0.000687280776759,4.17426545913e-05,0.00965171745326,0.0211190581268,0.0109620188935,0.00842098837582,0.000511456774256,0.000343583051017,0.000751798885634,0.000390227326377,0.000299771402629,1.82069025345e-05
0.0153070423999,0.0164656829762,0.00930894252161,0.0091319174373,0.000342098388768,0.0326856766408,0.0408049313184,0.0230479601225,0.022445681078,0.00081062365204,0.0229408042659,0.0506140342782,0.0305475463268,0.0305716201472,0.000917515843934,0.00953117888552,0.0119105946081,0.00678420644338,0.00664461359619,0.000237568653652,2.99540917341e-05,4.44756521513e-05,2.549405158e-05,2.49112649159e-05,8.50484440282e-07,0.000544846809611,0.00140141498876,0.000855475030208,0.000860091609279,2.49475435816e-05,8.94121802223e-05,0.000132929337051,7.67651717168e-05,7.53984921543e-05,2.55145332085e-06,0.012252645202,0.0156125151671,0.00943059427995,0.009621422211,0.000319640402139,0.0167854631776,0.0419282770938,0.0262640861808,0.0269922874289,0.000762837293797,0.0183582603172,0.0698178592771,0.0454997345937,0.047806582482,0.00123641537963,0.022271116524,0.0474558005555,0.0293386252049,0.0299792337443,0.000879164665574,0.00079387979933,0.00560516153519,0.00370114897776,0.00388827173157,9.53015064471e-05,0.00233086572714,0.0164569988158,0.0108667348767,0.0114161354459,0.000279809380853,0.00285592058698,0.0201641309367,0.0133145944386,0.0139877539337,0.000342839727705,0.00101665420013,0.00717805267496,0.00473974606324,0.0049793782264,0.00012204451718,0.000232540786205,0.000517058495327,0.000320855683292,0.000328391239562,9.53015064471e-06,0.000682749893854,0.0015181063011,0.000942046284807,0.000964171006785,2.79809380853e-05,0.00836547320129,0.0186007756177,0.0115425326622,0.0118136184148,0.000342839727705,0.000297795166468,0.000662152748353,0.00041089252848,0.000420542673172,1.2204451718e-05
0.0140203330531,0.0147425576394,0.00958653803271,0.0119769395945,0.000229315404122,0.0295650677258,0.036461900028,0.0237345929304,0.0294899348524,0.000543377275256,0.0202669720714,0.0441204470388,0.0307835678393,0.0398055046595,0.000615029253127,0.00864743607529,0.01061872559,0.0069675422773,0.00871521121594,0.000159247028362,2.68239130705e-05,3.94871896659e-05,2.61211532275e-05,3.26831920975e-05,5.70096760248e-07,0.000476539839556,0.00121631410069,0.000858987133803,0.00111821206908,1.67228383006e-05,8.03122889283e-05,0.000117792238291,7.8469639315e-05,9.87721776504e-05,1.71029028074e-06,0.0113299742295,0.013709063107,0.00951077754831,0.0124727410117,0.000214261365726,0.0149256775313,0.0362298883377,0.0261794016857,0.0348866384983,0.0005113451219,0.0160661856558,0.0595931949656,0.0448287947056,0.0614018827215,0.000828794001231,0.0199525675087,0.0412036077899,0.0293626111353,0.0388158325705,0.000589321689885,0.000650872510881,0.00474608339753,0.00363105897617,0.00499186615653,6.388250919e-05,0.00191099008896,0.0139347079227,0.0106609475741,0.0146563368265,0.000187561834121,0.00234146303369,0.0170736644187,0.0130624511309,0.0179578487019,0.000229812338464,0.000833516953696,0.0060779045195,0.00464998777166,0.00639265755196,8.18088850955e-05,0.000207942614412,0.000448323688212,0.000320747532401,0.000424974269086,6.388250919e-06,0.000610528588274,0.00131629790857,0.000941728749071,0.0012477429953,1.87561834121e-05,0.00748057317885,0.0161280946042,0.0115386420183,0.0152881174838,0.000229812338464,0.000266294384247,0.000574129938846,0.00041075402885,0.000544228327739,8.18088850955e-06
0.0130789634088,0.0129870708067,0.00948953865267,0.0148463961459,0.000153714709636,0.0273001326798,0.0320557763821,0.0234821553707,0.0365925717053,0.000364236673977,0.0183868670949,0.0379996163445,0.0298661231941,0.0489266477983,0.000412266430266,0.00800584965031,0.00931958872942,0.00687809920621,0.0107978781274,0.00010674647357,2.4573568065e-05,3.45271695566e-05,2.57213141303e-05,4.04813457897e-05,3.82147280082e-07,0.000428921965705,0.0010437038956,0.000830635596795,0.00137230486978,1.12096535491e-05,7.37670270626e-05,0.00010284807741,7.71199339121e-05,0.000122175154241,1.14644184025e-06,0.0106587865838,0.0118927918022,0.00924796230063,0.0152936528894,0.000143623686097,0.0136161513603,0.0309944464797,0.0251716994965,0.0426078889584,0.000342764879829,0.0144837315354,0.0504624944762,0.0426622021155,0.0745548666989,0.000555557223621,0.0183060215025,0.035393632909,0.0283371343778,0.0474921177694,0.000395034135582,0.000556706901072,0.00398950450278,0.00343988047648,0.00605484994418,4.28217257736e-05,0.0016345157502,0.0117133592789,0.010099639158,0.0177773036041,0.000125726455147,0.00200270960544,0.0143519309233,0.0123747014067,0.0217818498736,0.000154047814682,0.000712927082532,0.00510901840887,0.00440516176042,0.0077539302954,5.48381346918e-05,0.000190513479115,0.000384661109579,0.000309218906682,0.000519700687078,4.28217257736e-06,0.000559355886622,0.00112938180016,0.000907880200976,0.00152586389136,1.25726455147e-05,0.00685357364628,0.0138378830496,0.0111239087104,0.0186958264028,0.000154047814682,0.00024397437608,0.00049260270007,0.000395990300426,0.000665536378147,5.48381346918e-06
0.0123908377324,0.0112989007775,0.00911949731821,0.017643409856,0.000103038039671,0.0256555374986,0.0278356546161,0.0225483064152,0.0435112191652,0.000244155116656,0.0170535293949,0.0324353369275,0.0281779235193,0.057648380599,0.000276350421488,0.00753972354617,0.00808210413136,0.00659230341095,0.0128224768053,7.15542930437e-05,2.2951615345e-05,2.98438095428e-05,2.45908698568e-05,4.80430891234e-05,2.56160953617e-07,0.000395378905868,0.000888063512695,0.000781314782748,0.00161450472549,7.51405463944e-06,6.90460677317e-05,8.88003973039e-05,7.3612763451e-05,0.000144828923118,7.68482860851e-07,0.0101694236931,0.0102207853542,0.00875204870141,0.0179982856884,9.62738250678e-05,0.0126855030083,0.0263165139438,0.0235705897183,0.0499305823602,0.000229762144231,0.0133754819015,0.0424786059645,0.0395838206112,0.0869085424706,0.000372401101903,0.0171282320533,0.0301565912168,0.0266246281174,0.0557496900366,0.00026479927022,0.000493251272805,0.00333618021546,0.00317696192014,0.00704866588392,2.87042579692e-05,0.00144820725709,0.00979517066731,0.00932769880568,0.0206951905625,8.427695374e-05,0.00177443293776,0.0120016478153,0.0114288724306,0.0253570251134,0.000103261326636,0.000631664867454,0.00427236167404,0.00406846437269,0.00902662567089,3.67590968441e-05,0.000178067551199,0.000327421520771,0.000290251964807,0.000609764892456,2.87042579692e-06,0.000522814099257,0.000961323870106,0.000852192432121,0.00179029632778,8.427695374e-06,0.00640584110809,0.0117787335385,0.010441587787,0.0219358158635,0.000103261326636,0.00022803593691,0.000419300836961,0.000371700954436,0.0007808739302,3.67590968441e-06
0.0118993223651,0.00972417163667,0.00856355668273,0.0202995645843,6.90684550172e-05,0.0244871041435,0.0239149940828,0.0211534993151,0.0500756132215,0.000163662048946,0.0161224987384,0.0274763784709,0.0260206487731,0.0657867516751,0.000185243204514,0.00720834705349,0.00693683922957,0.00617486907578,0.0147401425569,4.79642711191e-05,2.18057290394e-05,2.55423016159e-05,2.29779965952e-05,5.518780777e-05,1.71709801142e-07,0.000372076819092,0.000750301017706,0.000719508673799,0.00183985265001,5.03682083351e-06,6.57083043197e-05,7.59384355658e-05,6.86926836236e-05,0.000166202081553,5.15129403427e-07,0.00982021085467,0.00871126811221,0.00811042098426,0.0205303830441,6.45342669293e-05,0.0120342743837,0.02220089399,0.0216274948833,0.0567162737655,0.000154014152191,0.0126082834217,0.0355799836125,0.0360235630961,0.0982573940262,0.000249627893127,0.0163000523835,0.0255147123136,0.0245052227829,0.063426452977,0.000177500237214,0.000450630292303,0.0027783194133,0.00287810330901,0.00795746949852,1.92410371613e-05,0.00132307019882,0.00815726701318,0.00845023688447,0.0233634776253,5.64925245758e-05,0.00162110728852,0.00999478714076,0.0103537519138,0.0286263751518,6.92181287271e-05,0.000577083810123,0.00355795688873,0.00368574161982,0.0101904530068,2.46403564639e-05,0.000169327102622,0.000276794920659,0.00026691283975,0.000693417388283,1.92410371613e-06,0.000497151760896,0.000812681963381,0.000783667742688,0.00203590370521,5.64925245758e-06,0.00609141029561,0.00995748113187,0.00960198098775,0.0249451490797,6.92181287271e-05,0.000216842789327,0.000354467664879,0.000341812526066,0.000888000552273,2.46403564639e-06
